24,29,175271,40897,29945,63429,764329,413583,34740,22984
34,35,17876,5605,10863,9713,209955,53169,2648,6769
38,47,66987,7021,46453,29525,1928839,101975,7497,13807
34,47,51192,22183,15219,60093,2003198,91259,20132,11725
34,47,51272,31782,15622,25801,258922,166726,18852,15125
34,47,52957,63272,60693,24362,648227,92290,27977,51673
34,47,82208,93828,135857,139483,1479449,262455,104835,166532
34,47,125842,122936,89061,48073,326032,819318,62405,28225
34,44,34380,7900,47570,21387,1454358,110759,14670,9902
27,35,36776,9414,14814,30593,1155284,269046,18054,9582
14,24,30944,3792,42562,20867,397879,199483,32964,14559
17,13,24098,10708,43863,33525,525911,248032,62026,42059
11,23,20216,154406,137583,17428,600580,72133,34029,42179
3,29,46303,12426,27107,8510,274236,171686,32413,6530
4,35,11973,43188,43495,25614,767990,175212,17538,28558
1,38,9325,18795,16909,8685,1143560,133094,13598,3415
13,38,55791,52401,23503,60475,416001,52511,20495,10194
30,40,20984,58525,13697,49990,901223,133361,21976,20573
30,40,126822,76278,108845,58959,1331049,1122988,64475,25204
30,40,60961,155418,221117,67947,663535,354324,81941,70961
43,44,40413,96915,95421,127818,380650,165801,41671,36774
54,50,17569,10392,19759,15332,963972,50486,8713,3433
43,37,16078,3264,6829,14046,136166,104645,8731,5709
21,26,35445,169655,62426,38425,1358162,1575049,38697,74599
7,16,34060,41650,48857,39482,729673,555300,47856,39703
1,20,46995,7715,3601,4450,86452,106835,6372,3337
1,14,2010,981,3231,1316,21504,27307,1765,695
1,29,15402,8088,6202,3770,777915,22597,2522,3151
11,44,12529,37153,16149,31620,81244,25160,23613,3582
23,38,17154,15431,23094,15584,607530,106123,22538,8439
24,67,30741,61912,14878,5484,12670,12578,11967,9247
24,60,13366,34496,22804,13244,433137,116710,5052,6826
17,54,4712,25419,26102,15338,1037129,47196,14791,12362
17,54,108327,32032,40791,56674,617826,231840,54523,17479
17,54,488569,417036,103796,210758,470040,82906,100776,188520
16,54,1974,16673,7091,9848,775260,71908,12263,4033
14,27,21717,49840,34109,24660,398801,557856,40652,24701
16,17,13887,5714,13522,18116,874095,168285,13819,7498
7,23,111971,71150,27393,24190,1071198,228701,27571,8390
10,27,26018,26123,11909,22528,1303720,94015,10909,7631
29,41,9940,35777,14640,36727,1040180,37488,10636,12542
24,56,43645,47885,7118,10350,857201,116678,7672,4525
40,56,20391,13858,23212,17557,468100,23249,14009,7811
30,60,40275,83423,53902,17848,501421,125781,10470,6718
24,56,144116,411409,277306,262749,2970577,975720,270941,244777
24,56,84722,110370,56211,34938,414345,144726,17048,38828
30,54,51713,27771,36301,16311,1133873,96915,23295,8180
26,50,11621,34579,21649,25773,916183,94457,11471,5881
26,47,47130,212121,46540,56743,1257142,533521,94830,39001
11,48,21415,7342,3107,3519,264046,59517,4724,3956
8,37,13372,16381,8630,12354,6261,199066,2684,8003
8,37,69694,18492,17975,53865,1983061,187550,46158,14847
1,29,39268,45369,41414,17860,1098304,410571,39198,10767
14,29,47875,35585,26168,37687,1652693,143392,45387,14670
7,24,58435,5762,35655,20420,387891,832912,25963,6093
3,29,21711,61815,20738,19073,1989235,87465,14287,7545
14,41,17225,50688,24812,20003,761540,61971,14622,11050
11,35,303,4004,976,2119,107921,17386,2575,816
24,50,74345,14490,37888,22529,687257,132112,26527,17008
24,41,37421,32152,16602,32889,798601,247366,19165,10028
