13,38,13651,6434,2540,4122,902866,175356,4581,7743
8,29,21406,18238,5787,21355,555875,42716,8282,11123
10,26,57677,119148,27443,21901,1068017,218398,129710,10167
17,26,36937,28697,18087,10639,1056077,166537,104538,3470
23,30,3978,4968,4112,1322,150190,23779,4938,849
20,43,15603,32531,13772,7876,338432,85826,4663,2110
8,44,134701,76745,32718,30011,2478739,119072,53199,12430
1,29,13538,11999,9991,43439,1752549,1134327,94202,46414
1,14,81723,18765,12102,22147,2697335,340034,54438,25309
14,21,37507,3992,32328,8127,1475727,144094,2162,6363
38,30,18403,28781,4203,8465,1917726,463063,11850,10613
53,40,5607,602,755,1971,259723,51950,5608,1837
66,51,18795,3437,4174,4236,122235,669081,8950,5160
64,50,6680,2260,2688,2756,1216237,66389,3941,7221
56,37,1229,5744,2129,1272,460673,18942,1275,1684
40,34,67267,27805,19199,17087,2727292,577845,108434,31217
30,38,19387,8487,11276,2822,1558084,106938,20068,5437
38,26,56210,14061,29482,8833,817575,749811,12718,38320
41,38,125692,70999,47179,29293,1863652,490734,16253,22039
51,47,1471,2643,1870,1453,715266,31708,6593,2119
48,35,82984,6525,5349,3852,1047102,289759,9681,5201
30,47,7363,1035,1193,929,150154,27452,786,2341
23,37,26029,35299,52985,19025,2195205,431318,21292,31259
35,23,28436,1683,5435,5932,1443566,105511,29620,7220
37,27,1986,4207,1099,1331,215148,18772,9359,1988
35,23,152767,29602,15666,8236,1202465,206276,9424,29727
27,27,4336,7478,593,777,146482,30170,450,1368
27,37,167182,16558,14239,34302,1988155,447108,108846,31673
16,23,23571,2782,1194,1661,191194,34311,5643,2239
34,26,6798,7622,7241,4860,1647642,136157,3427,7872
37,26,6506,1757,2225,4016,119583,217909,2305,6535
30,27,34139,72886,16571,18551,3520904,1040905,53991,24390
50,47,8934,9840,1919,2892,571068,33628,9430,2080
40,43,4773,29531,20313,9250,2212688,661687,9306,22139
51,47,19019,2935,3374,3502,141411,54977,1199,7630
61,54,46724,6301,23135,9645,1942023,133979,11269,26111
66,54,11378,2279,1694,1940,300099,45793,3101,9318
74,61,20110,13223,12542,9471,1598628,149451,7296,41491
63,48,19544,17969,20446,8151,298274,165733,7962,30261
60,51,20059,5421,3288,8477,403364,119655,9345,44866
53,47,14720,3363,3929,6753,530103,37405,5669,6960
57,48,3848,1730,2371,4498,1680631,68825,1851,7945
67,61,1542,10269,5140,3321,286305,50990,2346,9350
54,44,8288,14443,12880,10062,1516758,496588,5769,35863
44,40,6726,7952,14874,19476,12611,6495,10201,44506
38,40,31677,13455,9836,8119,2526757,144038,8966,38745
35,40,7405,17824,9913,25904,1427132,591477,5342,33051
51,41,3508,2284,3837,2939,182072,33954,5651,9847
44,34,31909,9592,32904,12749,842532,164180,13806,26092
44,13,3202,4414,5223,4268,585481,162271,2948,8972
47,10,4729,1968,5236,2113,214213,65926,1097,7952
48,21,28829,21160,13607,9687,537019,159847,16162,8008
60,27,9228,22415,12441,12921,975663,110720,62406,5826
69,34,56611,105961,45380,38539,308701,344985,138654,8917
77,30,61972,191476,27052,21830,1544519,355993,10992,11454
70,30,77270,21999,2895,14616,438270,138362,11178,1871
75,24,131747,28232,6941,24487,2230937,933449,88207,31068
60,30,85618,36897,9687,12960,1068632,435193,50870,24602
51,40,51359,2494,3423,2209,1670706,165151,3319,7469
53,48,2898,4850,3263,1600,224374,65101,1140,1947
