45,Wed Apr 28 13:50:06 GMT+08:00 2021,1619589006,100,56,6060,8485,7524,12975,25194,10672,6672,3478
46,Wed Apr 28 13:50:07 GMT+08:00 2021,1619589007,100,61,18178,8854,8618,9838,13788,28175,7730,2683
47,Wed Apr 28 13:50:08 GMT+08:00 2021,1619589008,94,60,3119,2128,1158,2998,257651,16775,3705,822
48,Wed Apr 28 13:50:09 GMT+08:00 2021,1619589009,100,60,9955,16888,2029,24057,29979,15846,5740,1803
49,Wed Apr 28 13:50:10 GMT+08:00 2021,1619589010,88,64,14361,15511,10540,6844,10924,26431,5875,2808
50,Wed Apr 28 13:50:11 GMT+08:00 2021,1619589011,91,61,9063,7152,7593,8353,46942,20107,4151,4570
51,Wed Apr 28 13:50:12 GMT+08:00 2021,1619589012,100,63,3916,3541,2435,12949,20171,12576,7847,4085
52,Wed Apr 28 13:50:13 GMT+08:00 2021,1619589013,96,54,1605,5218,4852,5599,240402,15983,2020,813
53,Wed Apr 28 13:50:14 GMT+08:00 2021,1619589014,100,50,8594,8756,11196,15256,22433,24423,4974,4192
54,Wed Apr 28 13:50:15 GMT+08:00 2021,1619589015,100,54,12742,23784,14748,10008,18876,21729,8475,6220
55,Wed Apr 28 13:50:16 GMT+08:00 2021,1619589016,94,51,3878,4363,6316,10640,6512,27122,8136,4262
56,Wed Apr 28 13:50:17 GMT+08:00 2021,1619589017,96,56,8419,8044,4683,10847,47586,24379,9450,4315
57,Wed Apr 28 13:50:18 GMT+08:00 2021,1619589018,90,74,19052,42140,2019,13269,22990,11730,8686,2654
58,Wed Apr 28 13:50:19 GMT+08:00 2021,1619589019,83,70,16362,12582,5809,5569,26133,34825,9271,7281
59,Wed Apr 28 13:50:20 GMT+08:00 2021,1619589020,78,69,1271,9330,11418,7954,325738,44623,6569,5999
60,Wed Apr 28 13:50:21 GMT+08:00 2021,1619589021,81,64,5358,9505,18939,14679,19522,22359,4162,1951
61,Wed Apr 28 13:50:22 GMT+08:00 2021,1619589022,70,51,33328,56155,13064,13066,514667,128200,7760,3635
62,Wed Apr 28 13:50:23 GMT+08:00 2021,1619589023,60,40,5161,5765,2401,1188,74501,56924,961,540
63,Wed Apr 28 13:50:24 GMT+08:00 2021,1619589024,64,35,7974,4708,5984,31230,235485,88006,11097,4495
64,Wed Apr 28 13:50:25 GMT+08:00 2021,1619589025,70,37,7473,5014,8772,17519,29257,7232,13152,11362
